user_id,name,email,phone,address,city,state,risk_score
1,Stefanie Bryant,hgiles@example.com,001-970-502-5240x2053,"8586 Martin Drives
Port Ericachester, MS 58097",Lake Kimberly,Wisconsin,0.3
2,Matthew Castillo,brittany32@example.org,2108768543,"85537 Alexandra Keys
South James, ME 13158",Jonesfurt,California,0.5
3,Thomas Ross,tharper@example.org,797.476.3238,"5610 Rachel Common Suite 543
Ashleyfort, AS 88496",Caitlinburgh,Idaho,0.3
4,Susan Reed,daynicholas@example.org,001-268-777-2639x50346,"69900 Adriana Plaza Apt. 782
Zacharyfurt, WI 54375",Port Branditon,Nebraska,0.4
5,Jennifer Wagner,sullivankelly@example.org,001-686-443-7197x36086,"5376 Beverly Rapid Suite 281
Williamfort, IN 17859",Lake Joshua,California,0.6
6,Kevin Harrell,emichael@example.net,801-485-0564,"76942 Pham Hollow
North Stephanie, SD 89614",North Vanessaport,Louisiana,0.3
7,Marcia Chang,taylorjonathan@example.org,(577)569-8761x5901,"Unit 5215 Box 5272
DPO AA 44009",Williamsfort,Nevada,0.4
8,David Martin,boonenicholas@example.com,(238)792-5125,"PSC 5135, Box 5904
APO AE 00606",West Cheryl,New Jersey,0.4
9,Dawn Martin,kathryn74@example.net,402-647-0829x52129,"660 Timothy Coves
New Darren, MH 51032",Alexanderside,Rhode Island,0.5
10,Natasha Cooper,grodriguez@example.org,001-998-829-2754,"6917 Harris Turnpike Suite 906
Fisherberg, ME 96886",North Troy,New Mexico,0.1
11,Ronnie Torres,mblack@example.org,322.283.6997x214,"922 Julie Green
Port Elizabeth, GA 53097",West Kelli,Kentucky,0.1
12,Terry Mora,wbrown@example.com,7789461235,"17202 Shelley Mountains Apt. 591
Port Jacqueline, UT 05800",Jeremystad,Tennessee,1.0
13,Todd Boyd,tammy17@example.org,(942)976-8690x4903,"54800 Green Fords
Jonesborough, MO 25184",North Tammy,Hawaii,0.4
14,Gene Drake,nbryant@example.net,638-972-2314,"170 Orozco Land
West Michael, CT 99703",Port Amandaside,New Mexico,0.2
15,Mr. Robert Weaver,christopher49@example.org,2355684172,"9630 Nicholson Rest
East Christopher, KS 49373",Alexandrastad,Iowa,0.4
16,Diane Williams,obrienteresa@example.net,343-912-1826,"008 Lynn Keys
South Nathanport, IA 17609",East Collinhaven,South Carolina,0.1
17,Brian Romero,william12@example.net,208-499-2474x362,"755 Bartlett Mountains
Lake Tiffany, PW 04963",Kennethmouth,Ohio,0.2
